"Driver","Year","GP","Pitlane"
"RUS",2019,"Monaco",0
"KUB",2019,"Monaco",0
"BOT",2019,"Spain",0
"VER",2019,"Spain",0
"HAM",2019,"Spain",0
"LEC",2019,"Spain",0
"VET",2019,"Spain",0
"NOR",2019,"Spain",0
"MAG",2019,"Spain",0
"SAI",2019,"Spain",0
"ALB",2019,"Spain",0
"GAS",2019,"Spain",0
"KVY",2019,"Spain",0
"GRO",2019,"Spain",0
"RAI",2019,"Spain",0
"PER",2019,"Spain",0
"RIC",2019,"Spain",0
"HUL",2019,"Spain",1
"STR",2019,"Spain",0
"GIO",2019,"Spain",0
"RUS",2019,"Spain",0
"KUB",2019,"Spain",0
"VET",2019,"Canada",0
"LEC",2019,"Canada",0
"BOT",2019,"Canada",0
"HAM",2019,"Canada",0
"VER",2019,"Canada",0
"HUL",2019,"Canada",0
"SAI",2019,"Canada",0
"NOR",2019,"Canada",0
"RIC",2019,"Canada",0
"KVY",2019,"Canada",0
"ALB",2019,"Canada",0
"GAS",2019,"Canada",0
"MAG",2019,"Canada",1
"GRO",2019,"Canada",0
"GIO",2019,"Canada",0
"PER",2019,"Canada",0
"RAI",2019,"Canada",0
"STR",2019,"Canada",0
"RUS",2019,"Canada",0
"KUB",2019,"Canada",0
"VER",2019,"Austria",0
"HAM",2019,"Austria",0
"BOT",2019,"Austria",0
"LEC",2019,"Austria",0
"NOR",2019,"Austria",0
"GAS",2019,"Austria",0
"VET",2019,"Austria",0
"GIO",2019,"Austria",0
"SAI",2019,"Austria",0
"GRO",2019,"Austria",0
"RAI",2019,"Austria",0
"RIC",2019,"Austria",0
"ALB",2019,"Austria",0
"HUL",2019,"Austria",0
"MAG",2019,"Austria",0
"PER",2019,"Austria",0
"STR",2019,"Austria",0
"KVY",2019,"Austria",0
"RUS",2019,"Austria",1
"KUB",2019,"Austria",0
"HAM",2019,"Great Britain",0
"LEC",2019,"Great Britain",0
"VER",2019,"Great Britain",0
"BOT",2019,"Great Britain",0
"VET",2019,"Great Britain",0
"NOR",2019,"Great Britain",0
"SAI",2019,"Great Britain",0
"GAS",2019,"Great Britain",0
"GRO",2019,"Great Britain",0
"RIC",2019,"Great Britain",0
"GIO",2019,"Great Britain",0
"ALB",2019,"Great Britain",0
"RAI",2019,"Great Britain",0
"HUL",2019,"Great Britain",0
"PER",2019,"Great Britain",0
"MAG",2019,"Great Britain",0
"KVY",2019,"Great Britain",0
"STR",2019,"Great Britain",0
"RUS",2019,"Great Britain",0
"KUB",2019,"Great Britain",0
"VER",2019,"Hungary",0
"HAM",2019,"Hungary",0
"BOT",2019,"Hungary",0
"MAG",2019,"Hungary",0
"LEC",2019,"Hungary",0
"VET",2019,"Hungary",0
"SAI",2019,"Hungary",0
"RAI",2019,"Hungary",0
"NOR",2019,"Hungary",0
"GAS",2019,"Hungary",0
"KVY",2019,"Hungary",0
"HUL",2019,"Hungary",0
"GIO",2019,"Hungary",0
"ALB",2019,"Hungary",0
"GRO",2019,"Hungary",0
"RUS",2019,"Hungary",0
"PER",2019,"Hungary",0
"RIC",2019,"Hungary",0
"STR",2019,"Hungary",0
"KUB",2019,"Hungary",0
"LEC",2019,"Belgium",0
"VET",2019,"Belgium",0
"VER",2019,"Belgium",0
"BOT",2019,"Belgium",0
"HAM",2019,"Belgium",0
"ALB",2019,"Belgium",0
"RIC",2019,"Belgium",0
"GIO",2019,"Belgium",0
"GRO",2019,"Belgium",0
"PER",2019,"Belgium",0
"MAG",2019,"Belgium",0
"RAI",2019,"Belgium",0
"HUL",2019,"Belgium",0
"STR",2019,"Belgium",0
"NOR",2019,"Belgium",0
"GAS",2019,"Belgium",0
"SAI",2019,"Belgium",0
"KVY",2019,"Belgium",0
"RUS",2019,"Belgium",0
"KUB",2019,"Belgium",1
"LEC",2019,"Azerbaijan",0
"HAM",2019,"Azerbaijan",0
"VER",2019,"Azerbaijan",0
"SAI",2019,"Azerbaijan",0
"BOT",2019,"Azerbaijan",0
"VET",2019,"Azerbaijan",0
"GIO",2019,"Azerbaijan",0
"ALB",2019,"Azerbaijan",0
"PER",2019,"Azerbaijan",0
"KVY",2019,"Azerbaijan",0
"NOR",2019,"Azerbaijan",0
"MAG",2019,"Azerbaijan",0
"RIC",2019,"Azerbaijan",0
"STR",2019,"Azerbaijan",0
"GRO",2019,"Azerbaijan",0
"HUL",2019,"Azerbaijan",0
"RUS",2019,"Azerbaijan",0
"KUB",2019,"Azerbaijan",1
"RAI",2019,"Azerbaijan",1
"GAS",2019,"Azerbaijan",1
"BOT",2019,"Singapore",0
"HAM",2019,"Singapore",0
"LEC",2019,"Singapore",0
"VET",2019,"Singapore",0
"VER",2019,"Singapore",0
"NOR",2019,"Singapore",0
"SAI",2019,"Singapore",0
"HUL",2019,"Singapore",0
"GAS",2019,"Singapore",0
"ALB",2019,"Singapore",0
"GIO",2019,"Singapore",0
"RAI",2019,"Singapore",0
"PER",2019,"Singapore",0
"MAG",2019,"Singapore",0
"KVY",2019,"Singapore",0
"STR",2019,"Singapore",0
"GRO",2019,"Singapore",0
"RUS",2019,"Singapore",0
"KUB",2019,"Singapore",0
"RIC",2019,"Singapore",0
"NOR",2019,"Austin",0
"HAM",2019,"Austin",0
"VER",2019,"Austin",0
"GAS",2019,"Austin",0
"BOT",2019,"Austin",0
"VET",2019,"Austin",0
"MAG",2019,"Austin",0
"RIC",2019,"Austin",0
"SAI",2019,"Austin",0
"STR",2019,"Austin",0
"ALB",2019,"Austin",0
"LEC",2019,"Austin",0
"HUL",2019,"Austin",0
"KVY",2019,"Austin",0
"GRO",2019,"Austin",0
"GIO",2019,"Austin",0
"RAI",2019,"Austin",0
"RUS",2019,"Austin",0
"PER",2019,"Austin",1
"KUB",2019,"Austin",0
"VER",2019,"Mexico",0
"ALB",2019,"Mexico",0
"LEC",2019,"Mexico",0
"HAM",2019,"Mexico",0
"VET",2019,"Mexico",0
"KVY",2019,"Mexico",0
"SAI",2019,"Mexico",0
"BOT",2019,"Mexico",0
"GAS",2019,"Mexico",0
"NOR",2019,"Mexico",0
"RAI",2019,"Mexico",0
"RIC",2019,"Mexico",0
"PER",2019,"Mexico",0
"HUL",2019,"Mexico",0
"GIO",2019,"Mexico",0
"STR",2019,"Mexico",0
"MAG",2019,"Mexico",0
"GRO",2019,"Mexico",0
"RUS",2019,"Mexico",0
"KUB",2019,"Mexico",0
"VER",2019,"Brazil",0
"LEC",2019,"Brazil",0
"ALB",2019,"Brazil",0
"BOT",2019,"Brazil",0
"VET",2019,"Brazil",0
"HAM",2019,"Brazil",0
"MAG",2019,"Brazil",0
"NOR",2019,"Brazil",0
"GAS",2019,"Brazil",0
"HUL",2019,"Brazil",0
"RIC",2019,"Brazil",0
"GIO",2019,"Brazil",0
"GRO",2019,"Brazil",0
"RAI",2019,"Brazil",0
"PER",2019,"Brazil",0
"KVY",2019,"Brazil",0
"STR",2019,"Brazil",0
"RUS",2019,"Brazil",0
"KUB",2019,"Brazil",0
"SAI",2019,"Brazil",0
"HAM",2019,"Abu Dhabi",0
"ALB",2019,"Abu Dhabi",0
"BOT",2019,"Abu Dhabi",0
"VER",2019,"Abu Dhabi",0
"LEC",2019,"Abu Dhabi",0
"PER",2019,"Abu Dhabi",0
"VET",2019,"Abu Dhabi",0
"RIC",2019,"Abu Dhabi",0
"GAS",2019,"Abu Dhabi",0
"SAI",2019,"Abu Dhabi",0
"HUL",2019,"Abu Dhabi",0
"STR",2019,"Abu Dhabi",0
"NOR",2019,"Abu Dhabi",0
"KVY",2019,"Abu Dhabi",0
"MAG",2019,"Abu Dhabi",0
"GRO",2019,"Abu Dhabi",0
"GIO",2019,"Abu Dhabi",0
"RAI",2019,"Abu Dhabi",0
"RUS",2019,"Abu Dhabi",0
"KUB",2019,"Abu Dhabi",0
"LEC",2019,"Monza",0
"HUL",2019,"Monza",0
"BOT",2019,"Monza",0
"HAM",2019,"Monza",0
"RIC",2019,"Monza",0
"VET",2019,"Monza",0
"ALB",2019,"Monza",0
"SAI",2019,"Monza",0
"GAS",2019,"Monza",0
"MAG",2019,"Monza",0
"RAI",2019,"Monza",1
"STR",2019,"Monza",0
"NOR",2019,"Monza",0
"GIO",2019,"Monza",0
"KVY",2019,"Monza",0
"GRO",2019,"Monza",0
"PER",2019,"Monza",0
"RUS",2019,"Monza",0
"KUB",2019,"Monza",0
"VER",2019,"Monza",0
"BOT",2019,"France",0
"HAM",2019,"France",0
"LEC",2019,"France",0
"HUL",2019,"France",0
"RIC",2019,"France",0
"PER",2019,"France",0
"RAI",2019,"France",0
"NOR",2019,"France",0
"SAI",2019,"France",0
"VET",2019,"France",0
"GAS",2019,"France",0
"MAG",2019,"France",0
"GIO",2019,"France",0
"VER",2019,"France",0
"ALB",2019,"France",0
"KVY",2019,"France",0
"GRO",2019,"France",0
"STR",2019,"France",0
"RUS",2019,"France",0
"KUB",2019,"France",0
"LEC",2019,"Germany",0
"VER",2019,"Germany",0
"HAM",2019,"Germany",0
"GAS",2019,"Germany",0
"RAI",2019,"Germany",0
"BOT",2019,"Germany",0
"MAG",2019,"Germany",0
"RIC",2019,"Germany",0
"GRO",2019,"Germany",0
"GIO",2019,"Germany",0
"HUL",2019,"Germany",0
"PER",2019,"Germany",0
"SAI",2019,"Germany",0
"STR",2019,"Germany",0
"KVY",2019,"Germany",0
"NOR",2019,"Germany",0
"ALB",2019,"Germany",0
"RUS",2019,"Germany",0
"KUB",2019,"Germany",0
"VET",2019,"Germany",0
"VET",2019,"Russia",0
"HAM",2019,"Russia",0
"VER",2019,"Russia",0
"BOT",2019,"Russia",0
"LEC",2019,"Russia",0
"MAG",2019,"Russia",0
"RIC",2019,"Russia",0
"SAI",2019,"Russia",0
"NOR",2019,"Russia",0
"HUL",2019,"Russia",0
"GRO",2019,"Russia",0
"STR",2019,"Russia",0
"PER",2019,"Russia",0
"GAS",2019,"Russia",0
"GIO",2019,"Russia",0
"RAI",2019,"Russia",0
"RUS",2019,"Russia",0
"KUB",2019,"Russia",0
"ALB",2019,"Russia",1
"KVY",2019,"Russia",0
"HAM",2020,"Bahrain",0
"STR",2020,"Bahrain",0
"ALB",2020,"Bahrain",0
"BOT",2020,"Bahrain",0
"VER",2020,"Bahrain",0
"GAS",2020,"Bahrain",0
"SAI",2020,"Bahrain",0
"RIC",2020,"Bahrain",0
"LEC",2020,"Bahrain",0
"VET",2020,"Bahrain",0
"KVY",2020,"Bahrain",0
"PER",2020,"Bahrain",0
"OCO",2020,"Bahrain",0
"RUS",2020,"Bahrain",0
"NOR",2020,"Bahrain",0
"GIO",2020,"Bahrain",0
"RAI",2020,"Bahrain",0
"MAG",2020,"Bahrain",0
"GRO",2020,"Bahrain",0
"LAT",2020,"Bahrain",0
"HAM",2020,"Spain",0
"PER",2020,"Spain",0
"VER",2020,"Spain",0
"BOT",2020,"Spain",0
"LEC",2020,"Spain",0
"STR",2020,"Spain",0
"GAS",2020,"Spain",0
"ALB",2020,"Spain",0
"SAI",2020,"Spain",0
"VET",2020,"Spain",0
"NOR",2020,"Spain",0
"RIC",2020,"Spain",0
"KVY",2020,"Spain",0
"OCO",2020,"Spain",0
"RAI",2020,"Spain",0
"MAG",2020,"Spain",0
"GRO",2020,"Spain",0
"RUS",2020,"Spain",0
"LAT",2020,"Spain",0
"GIO",2020,"Spain",0
"VER",2020,"Austria",0
"BOT",2020,"Austria",0
"HAM",2020,"Austria",0
"STR",2020,"Austria",0
"LEC",2020,"Austria",0
"SAI",2020,"Austria",0
"PER",2020,"Austria",0
"VET",2020,"Austria",0
"RIC",2020,"Austria",0
"GAS",2020,"Austria",0
"NOR",2020,"Austria",0
"ALB",2020,"Austria",0
"OCO",2020,"Austria",0
"KVY",2020,"Austria",0
"GRO",2020,"Austria",0
"MAG",2020,"Austria",0
"RUS",2020,"Austria",0
"GIO",2020,"Austria",0
"RAI",2020,"Austria",0
"LAT",2020,"Austria",0
"BOT",2020,"Great Britain",0
"HAM",2020,"Great Britain",0
"VER",2020,"Great Britain",0
"STR",2020,"Great Britain",0
"HUL",2020,"Great Britain",0
"GAS",2020,"Great Britain",0
"OCO",2020,"Great Britain",0
"VET",2020,"Great Britain",0
"LEC",2020,"Great Britain",0
"ALB",2020,"Great Britain",0
"RIC",2020,"Great Britain",0
"SAI",2020,"Great Britain",0
"RUS",2020,"Great Britain",0
"KVY",2020,"Great Britain",0
"NOR",2020,"Great Britain",0
"MAG",2020,"Great Britain",0
"GIO",2020,"Great Britain",0
"RAI",2020,"Great Britain",0
"GRO",2020,"Great Britain",0
"LAT",2020,"Great Britain",0
"PER",2020,"Hungary",0
"STR",2020,"Hungary",0
"HAM",2020,"Hungary",0
"SAI",2020,"Hungary",0
"NOR",2020,"Hungary",0
"VET",2020,"Hungary",0
"BOT",2020,"Hungary",0
"VER",2020,"Hungary",0
"RUS",2020,"Hungary",0
"OCO",2020,"Hungary",NA
"ALB",2020,"Hungary",0
"GAS",2020,"Hungary",0
"LEC",2020,"Hungary",0
"RIC",2020,"Hungary",0
"LAT",2020,"Hungary",0
"MAG",2020,"Hungary",1
"KVY",2020,"Hungary",0
"GRO",2020,"Hungary",1
"GIO",2020,"Hungary",0
"RAI",2020,"Hungary",0
"HAM",2020,"Belgium",0
"BOT",2020,"Belgium",0
"VER",2020,"Belgium",0
"GAS",2020,"Belgium",0
"STR",2020,"Belgium",0
"KVY",2020,"Belgium",0
"RIC",2020,"Belgium",0
"SAI",2020,"Belgium",0
"PER",2020,"Belgium",0
"ALB",2020,"Belgium",0
"OCO",2020,"Belgium",0
"NOR",2020,"Belgium",0
"VET",2020,"Belgium",0
"RUS",2020,"Belgium",0
"LEC",2020,"Belgium",0
"RAI",2020,"Belgium",0
"GRO",2020,"Belgium",0
"GIO",2020,"Belgium",0
"LAT",2020,"Belgium",0
"MAG",2020,"Belgium",0
"HAM",2020,"Abu Dhabi",0
"BOT",2020,"Abu Dhabi",0
"LEC",2020,"Abu Dhabi",0
"VER",2020,"Abu Dhabi",0
"NOR",2020,"Abu Dhabi",0
"PER",2020,"Abu Dhabi",0
"ALB",2020,"Abu Dhabi",0
"KVY",2020,"Abu Dhabi",0
"STR",2020,"Abu Dhabi",0
"SAI",2020,"Abu Dhabi",0
"GAS",2020,"Abu Dhabi",0
"VET",2020,"Abu Dhabi",0
"RIC",2020,"Abu Dhabi",0
"OCO",2020,"Abu Dhabi",0
"GIO",2020,"Abu Dhabi",0
"RAI",2020,"Abu Dhabi",0
"MAG",2020,"Abu Dhabi",0
"RUS",2020,"Abu Dhabi",0
"FIT",2020,"Abu Dhabi",0
"LAT",2020,"Abu Dhabi",0
"HAM",2020,"Monza",0
"BOT",2020,"Monza",0
"PER",2020,"Monza",0
"SAI",2020,"Monza",0
"GAS",2020,"Monza",0
"VER",2020,"Monza",0
"KVY",2020,"Monza",0
"NOR",2020,"Monza",0
"STR",2020,"Monza",0
"LEC",2020,"Monza",0
"RIC",2020,"Monza",0
"OCO",2020,"Monza",0
"MAG",2020,"Monza",0
"RAI",2020,"Monza",0
"ALB",2020,"Monza",0
"GRO",2020,"Monza",0
"VET",2020,"Monza",0
"GIO",2020,"Monza",0
"RUS",2020,"Monza",0
"LAT",2020,"Monza",0
"VER",2020,"Turkey",0
"ALB",2020,"Turkey",0
"RAI",2020,"Turkey",0
"VET",2020,"Turkey",0
"LEC",2020,"Turkey",0
"GAS",2020,"Turkey",0
"RIC",2020,"Turkey",0
"OCO",2020,"Turkey",0
"BOT",2020,"Turkey",0
"NOR",2020,"Turkey",0
"GIO",2020,"Turkey",0
"STR",2020,"Turkey",0
"SAI",2020,"Turkey",0
"HAM",2020,"Turkey",0
"PER",2020,"Turkey",0
"MAG",2020,"Turkey",0
"KVY",2020,"Turkey",0
"RUS",2020,"Turkey",1
"GRO",2020,"Turkey",0
"LAT",2020,"Turkey",1
"HAM",2020,"Portugal",0
"VER",2020,"Portugal",0
"BOT",2020,"Portugal",0
"GAS",2020,"Portugal",0
"PER",2020,"Portugal",0
"LEC",2020,"Portugal",0
"ALB",2020,"Portugal",0
"VET",2020,"Portugal",0
"NOR",2020,"Portugal",0
"RIC",2020,"Portugal",0
"SAI",2020,"Portugal",0
"STR",2020,"Portugal",0
"OCO",2020,"Portugal",0
"KVY",2020,"Portugal",0
"RUS",2020,"Portugal",0
"RAI",2020,"Portugal",0
"GIO",2020,"Portugal",0
"GRO",2020,"Portugal",0
"MAG",2020,"Portugal",0
"LAT",2020,"Portugal",0
"BOT",2020,"Russia",0
"HAM",2020,"Russia",0
"KVY",2020,"Russia",0
"OCO",2020,"Russia",0
"VER",2020,"Russia",0
"RIC",2020,"Russia",0
"PER",2020,"Russia",0
"GAS",2020,"Russia",0
"NOR",2020,"Russia",0
"STR",2020,"Russia",0
"ALB",2020,"Russia",0
"SAI",2020,"Russia",0
"RUS",2020,"Russia",0
"LEC",2020,"Russia",0
"VET",2020,"Russia",0
"GRO",2020,"Russia",0
"GIO",2020,"Russia",0
"MAG",2020,"Russia",0
"LAT",2020,"Russia",0
"RAI",2020,"Russia",0
"BOT",2020,"Imola",0
"HAM",2020,"Imola",0
"VER",2020,"Imola",0
"LEC",2020,"Imola",0
"GAS",2020,"Imola",0
"NOR",2020,"Imola",0
"OCO",2020,"Imola",0
"ALB",2020,"Imola",0
"PER",2020,"Imola",0
"KVY",2020,"Imola",0
"RIC",2020,"Imola",0
"SAI",2020,"Imola",0
"VET",2020,"Imola",0
"RUS",2020,"Imola",0
"STR",2020,"Imola",0
"GRO",2020,"Imola",0
"MAG",2020,"Imola",0
"RAI",2020,"Imola",0
"LAT",2020,"Imola",0
"GIO",2020,"Imola",0
"VER",2020,"Eifel",0
"BOT",2020,"Eifel",0
"HAM",2020,"Eifel",0
"NOR",2020,"Eifel",0
"RIC",2020,"Eifel",0
"LEC",2020,"Eifel",0
"GAS",2020,"Eifel",0
"OCO",2020,"Eifel",0
"VET",2020,"Eifel",0
"PER",2020,"Eifel",0
"ALB",2020,"Eifel",0
"MAG",2020,"Eifel",0
"KVY",2020,"Eifel",0
"SAI",2020,"Eifel",0
"GIO",2020,"Eifel",0
"GRO",2020,"Eifel",0
"RUS",2020,"Eifel",0
"LAT",2020,"Eifel",0
"RAI",2020,"Eifel",0
"HUL",2020,"Eifel",0
"BOT",2020,"Mugello",0
"HAM",2020,"Mugello",0
"VER",2020,"Mugello",0
"ALB",2020,"Mugello",0
"PER",2020,"Mugello",0
"LEC",2020,"Mugello",0
"STR",2020,"Mugello",0
"OCO",2020,"Mugello",0
"NOR",2020,"Mugello",0
"KVY",2020,"Mugello",0
"RIC",2020,"Mugello",0
"SAI",2020,"Mugello",0
"RAI",2020,"Mugello",0
"GRO",2020,"Mugello",0
"VET",2020,"Mugello",0
"GAS",2020,"Mugello",0
"GIO",2020,"Mugello",0
"RUS",2020,"Mugello",0
"LAT",2020,"Mugello",0
"MAG",2020,"Mugello",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
"HAM",2020,"Sakhir",0
